Date Time,Save File As,File Name,Calibration Factor,Reference diff Voltage,Facility,Investigator,Source,Brand,Particles,Energy,Dose Rate,Gantry,Collimator,Couch,Field Size X1,Field Size X2,Field Size Y1,Field Size Y2,Ion Chamber,Setup,Distance,MU,PS,Transducer Type,Sensor Type,Sensor Size,Fiber Diameter,Fiber Length,Sensor Position X,Sensor Position Y,Sensor Position Z,Reference Fiber Diameter,Reference Fiber Length,Comments
NA,Custom,10Acalibhigh,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 1
NA,Custom,10Acalibhigh-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 2
NA,Custom,10Acalibhigh-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,1.5,1.5,1.5,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 3
NA,Custom,10Acaliblow,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,90,1.5,1.5,1.5,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 4
NA,Custom,10Acaliblow-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,90,1.5,1.5,1.5,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 5
NA,Custom,10Acaliblow-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,90,1.5,1.5,1.5,10,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 6
NA,Custom,10A10fff10x10d10oc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 7
NA,Custom,10A10fff10x10d10oc-2,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 8
NA,Custom,10A10fff10x10d10oc-3,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,10,0.25,2000,Batch 9
NA,Custom,10A10fff10x10d5oc,1,100,ERESA,Joan Rosello,Linac,Varian,Photons,10FFF,2400,0,0,0,5,5,5,5,0,SSD,100,200,56,MCP S13360’1325CS,Fiber,3,0.25,2000,0,0,5,0.25,2000,Batch 10
