Save File As,Default
File Name,default
Test Time,1000
Show Relative Dose,FALSE
Calibration Factor,0.5
Temperature Correction,0.0
Reference diff Voltage,200.0
Integrator Mode,TRUE
Integration Time,160
Reset Time,500
Facility,Blue Physics
Investigator,Marcos
Source,Light
Brand,Elekta
Particles,Photons
Energy,6
Dose Rate,300
Gantry,0
Collimator,0
Couch,0
Field Size X1,5.0
Field Size X2,5.0
Field Size Y1,6.4
Field Size Y2,5.0
Ion Chamber,199.5
Setup,SSD
Distance,100
MU,100
PS0,54400
PS1,54400
Transducer Type,MPPC S13360-1325CS
Sensor Type,Fiber
Sensor Size,3
Fiber Diameter,0.25
Fiber Length,99
Sensor Position X,0.0
Sensor Position Y,0.0
Sensor Position Z,0.0
Reference Fiber Diameter,0.25
Reference Fiber Length,99
Comments,Test
time,temp,ch0,ch1,5V,12V,10.38V,-12V,PS,61.3V
0.1200,27.3750,10.2400,0.0697,5.0262,11.9047,10.5793,-11.9859,57.2323,62.7450
0.2400,27.3750,10.2400,0.0547,5.0372,11.9034,10.5793,-11.9866,57.2488,62.7390
0.3600,27.3750,10.2400,0.0544,5.0375,11.9075,10.5793,-11.9859,57.2323,62.7450
0.4800,27.3750,10.2400,0.0706,5.0237,11.9075,10.5793,-11.9859,57.2303,62.7420
0.6000,27.3750,10.2400,0.0800,5.0381,11.9089,10.5793,-11.9859,57.2406,62.7420
0.7200,27.3750,10.2400,0.0637,5.0262,11.9068,10.5793,-11.9859,57.2344,62.7450
0.8400,27.3750,10.2400,0.0472,5.0375,11.9096,10.5793,-11.9866,57.2323,62.7420
0.9600,27.3750,10.2400,0.0406,5.0188,11.9164,10.5799,-11.9859,57.2323,62.7450
1.0800,27.3750,10.2400,0.0613,5.0378,11.9082,10.5793,-11.9866,57.1849,62.7420
1.2000,27.3750,10.2400,0.0791,5.0378,11.9075,10.5793,-11.9852,57.2199,62.7420
1.3200,27.3750,10.2400,0.0712,5.0188,11.9082,10.5799,-11.9866,57.2447,62.7420
1.4400,27.3750,10.2400,0.0744,5.0375,11.9096,10.5793,-11.9859,57.2344,62.7390
1.5600,27.3750,10.2400,0.0669,5.0372,11.9102,10.5793,-11.9866,57.2467,62.7450
1.6800,27.3750,10.2400,0.0572,5.0188,11.9068,10.5793,-11.9859,57.2034,62.7360
1.8000,27.3750,10.2400,0.0903,5.0372,11.9109,10.5799,-11.9859,57.2344,62.7450
1.9200,27.3750,10.2400,0.0597,5.0372,11.9116,10.5793,-11.9859,57.2303,62.7450
2.0400,27.3750,10.2400,0.0684,5.0375,11.9075,10.5793,-11.9866,57.2199,62.7420
2.1600,27.3750,10.2400,0.0750,5.0275,11.9089,10.5793,-11.9859,57.2344,62.7450
2.2800,27.3750,10.2400,0.0397,5.0262,11.9089,10.5799,-11.9859,57.1539,62.7420
2.4000,27.3750,10.2400,0.0872,5.0188,11.9157,10.5799,-11.9866,57.2385,62.7420
2.5200,27.3750,10.2400,0.0766,5.0372,11.9047,10.5799,-11.9852,57.2199,62.7420
2.6400,27.3750,10.2400,0.0441,5.0372,11.9096,10.5793,-11.9859,57.2344,62.7450
2.7600,27.3750,10.2400,0.0628,5.0375,11.9068,10.5793,-11.9866,57.2467,62.7420
2.8800,27.3750,10.2400,0.0578,5.0188,11.9109,10.5799,-11.9852,57.1869,62.7390
3.0000,27.3125,10.2400,0.0522,5.0188,11.9075,10.5793,-11.9859,57.1849,62.7450
3.1200,27.3125,10.2400,0.0772,5.0381,11.9041,10.5793,-11.9859,57.2323,62.7420
3.2400,27.3750,10.2400,0.0444,5.0384,11.9041,10.5793,-11.9859,57.1869,62.7420
3.3600,27.3750,10.2400,0.0662,5.0275,11.9061,10.5793,-11.9859,57.2447,62.7420
3.4800,27.4375,10.2400,0.0450,5.0375,11.9068,10.5799,-11.9866,57.1869,62.7390
3.6000,27.4375,10.2400,0.0756,5.0188,11.9041,10.5793,-11.9859,57.2488,62.7420
3.7200,27.3750,10.2400,0.0662,5.0372,11.9041,10.5793,-11.9866,57.2653,62.7390
3.8400,27.3750,10.2400,0.0413,5.0375,11.9047,10.5793,-11.9852,57.1539,62.7450
3.9600,27.3750,10.2400,0.0622,5.0188,11.9041,10.5793,-11.9859,57.2323,62.7420
4.0800,27.3750,10.2400,0.0766,5.0372,11.9075,10.5793,-11.9866,57.2344,62.7420
4.2000,27.3750,10.2400,0.0584,5.0188,11.9082,10.5793,-11.9859,57.2488,62.7420
4.3200,27.3750,10.2400,0.0484,5.0388,11.9034,10.5793,-11.9859,57.2488,62.7420
4.4400,27.3750,10.2400,0.0575,5.0391,11.9068,10.5799,-11.9859,57.2467,62.7450
4.5600,27.3750,10.2400,0.0509,5.0378,11.9089,10.5793,-11.9859,57.2344,62.7420
4.6800,27.3750,10.2400,0.0394,5.0388,11.9047,10.5793,-11.9866,57.2323,62.7420
4.8000,27.3750,10.2400,0.0469,5.0375,11.9068,10.5793,-11.9852,57.1704,62.7390
4.9200,27.3750,10.2400,0.0272,5.0188,11.9082,10.5799,-11.9866,57.2323,62.7420
5.0400,27.3750,10.2400,0.0569,5.0369,11.9089,10.5793,-11.9852,57.2199,62.7450
5.1600,27.3750,10.2400,0.0650,5.0372,11.9075,10.5786,-11.9859,57.1704,62.7390
5.2800,27.3750,10.2400,0.0919,5.0388,11.9047,10.5793,-11.9866,57.2385,62.7420
5.4000,27.3750,10.2400,0.0666,5.0188,11.9089,10.5793,-11.9859,57.1704,62.7420
5.5200,27.3750,10.2400,0.0350,5.0375,11.9157,10.5799,-11.9866,57.2303,62.7420
5.6400,27.3750,10.2400,0.0481,5.0375,11.9082,10.5793,-11.9866,57.2323,62.7420
5.7600,27.3750,10.2400,0.0631,5.0378,11.9075,10.5799,-11.9859,57.2303,62.7390
5.8800,27.3750,10.2400,0.0703,5.0237,11.9089,10.5793,-11.9866,57.2344,62.7450
6.0000,27.3750,10.2400,0.0744,5.0188,11.9068,10.5793,-11.9859,57.1869,62.7420
6.1200,27.3750,10.2400,0.0731,5.0369,11.9089,10.5793,-11.9852,57.2323,62.7420
6.2400,27.3750,10.2400,0.0778,5.0369,11.9082,10.5799,-11.9866,57.2344,62.7420
6.3600,27.3750,10.2400,0.0603,5.0394,11.9082,10.5793,-11.9859,57.2158,62.7420
6.4800,27.3750,10.2400,0.0719,5.0394,11.9034,10.5793,-11.9859,57.1869,62.7420
6.6000,27.3750,10.2400,0.0678,5.0287,11.9068,10.5793,-11.9859,57.1539,62.7390
6.7200,27.3750,10.2400,0.0562,5.0394,11.9075,10.5793,-11.9866,57.2509,62.7420
6.8400,27.3750,10.2400,0.0731,5.0188,11.9089,10.5799,-11.9859,57.2488,62.7390
6.9600,27.3750,10.2400,0.0731,5.0375,11.9096,10.5793,-11.9859,57.1869,62.7390
7.0800,27.3750,10.2400,0.0444,5.0372,11.9082,10.5793,-11.9866,57.2467,62.7420
7.2000,27.3125,10.2400,0.0606,5.0359,11.9157,10.5793,-11.9859,57.2323,62.7360
7.3200,27.3125,10.2400,0.0644,5.0262,11.9102,10.5786,-11.9866,57.1869,62.7450
7.4400,27.3750,10.2400,0.0463,5.0188,11.9068,10.5799,-11.9859,57.2509,62.7420
7.5600,27.3750,10.2400,0.0616,5.0384,11.9116,10.5793,-11.9866,57.2323,62.7420
7.6800,27.3750,10.2400,0.0600,5.0384,11.9089,10.5799,-11.9859,57.1539,62.7450
7.8000,27.3750,10.2400,0.0484,5.0188,11.9089,10.5799,-11.9859,57.2344,62.7420
7.9200,27.3750,10.2400,0.0747,5.0262,11.9157,10.5799,-11.9859,57.2509,62.7420
8.0400,27.3750,10.2400,0.0631,5.0287,11.9068,10.5799,-11.9866,57.2488,62.7420
8.1600,27.3750,10.2400,0.0522,5.0375,11.9096,10.5793,-11.9859,57.1704,62.7450
8.2800,27.3750,10.2400,0.0834,5.0262,11.9041,10.5793,-11.9859,57.2447,62.7420
8.4000,27.3750,10.2400,0.0487,5.0378,11.9068,10.5793,-11.9859,57.1539,62.7420
8.5200,27.3750,10.2400,0.0559,5.0372,11.9047,10.5799,-11.9866,57.2179,62.7420
8.6400,27.3750,10.2400,0.0700,5.0375,11.9047,10.5799,-11.9859,57.2488,62.7390
8.7600,27.3750,10.2400,0.0838,5.0262,11.9109,10.5793,-11.9859,57.2303,62.7420
8.8800,27.3750,10.2400,0.0466,5.0375,11.9089,10.5793,-11.9866,57.2509,62.7390
9.0000,27.3750,10.2400,0.0519,5.0375,11.8993,10.5793,-11.9859,57.2426,62.7420
9.1200,27.3750,10.2400,0.0609,5.0188,11.9089,10.5793,-11.9859,57.2323,62.7450
9.2400,27.3125,10.2400,0.0787,5.0372,11.9013,10.5793,-11.9859,57.2344,62.7360
9.3600,27.3125,10.2400,0.0541,5.0381,11.9047,10.5793,-11.9866,57.2323,62.7420
9.4800,27.3750,10.2400,0.0672,5.0375,11.9075,10.5786,-11.9859,57.2447,62.7390
9.6000,27.3750,10.2400,0.0459,5.0384,11.9041,10.5793,-11.9859,57.2323,62.7450
9.7200,27.3750,10.2400,0.0631,5.0287,11.9082,10.5793,-11.9866,57.2323,62.7390
9.8400,27.3750,10.2400,0.0806,5.0372,11.9068,10.5793,-11.9859,57.2467,62.7420
9.9600,27.3750,10.2400,0.0609,5.0381,11.9082,10.5793,-11.9866,57.2344,62.7420
10.0800,27.3750,10.2400,0.0628,5.0375,11.9089,10.5793,-11.9866,57.2199,62.7390
10.2000,27.3750,10.2400,0.0591,5.0188,11.9061,10.5786,-11.9866,57.2344,62.7450
10.3200,27.3750,10.2400,0.0522,5.0372,11.9109,10.5799,-11.9859,57.2344,62.7420
10.4400,27.3750,10.2400,0.0859,5.0391,11.9047,10.5799,-11.9866,57.2344,62.7390
