Save File As,Custom
File Name,longtemp2
Test Time,1000
Show Relative Dose,FALSE
Calibration Factor,1.0
Temperature Correction,0.0
Reference diff Voltage,1000.0
Integrator Mode,TRUE
Integration Time,160
Reset Time,500
Facility,Blue Physics
Investigator,Marcos
Source,Light
Brand,Elekta
Particles,Photons
Energy,6
Dose Rate,300
Gantry,0
Collimator,0
Couch,0
Field Size X1,5.0
Field Size X2,5.0
Field Size Y1,6.4
Field Size Y2,5.0
Ion Chamber,199.5
Setup,SSD
Distance,100
MU,100
PS,57000
Transducer Type,MPPC S13360-1325CS
Sensor Type,Fiber
Sensor Size,3
Fiber Diameter,0.25
Fiber Length,99
Sensor Position X,0.0
Sensor Position Y,0.0
Sensor Position Z,0.0
Reference Fiber Diameter,0.25
Reference Fiber Length,99
Comments,Test
time,temp,ch0,ch1,PS,-12V,5V,10.58V
0.1000,26.5625,-0.0049,-0.0019,57.0040,10.6219,5.0181,9.6135
0.2000,26.5625,-0.0056,0.0049,57.0064,10.6219,5.0182,9.6135
0.3000,26.5625,-0.0127,0.0064,57.0064,10.6219,5.0182,9.6135
0.4000,26.5625,-0.0135,-0.0165,57.0064,10.6219,5.0179,9.6135
0.5000,26.5625,0.0154,-0.0082,57.0064,10.6219,5.0182,9.6135
0.6000,26.5625,0.0060,-0.0210,57.0064,10.6219,5.0182,9.6135
0.7000,26.5625,0.0068,-0.0143,57.0064,10.6219,5.0182,9.6135
0.8000,26.5625,-0.0049,-0.0090,57.0064,10.6219,5.0179,9.6135
0.9000,26.5625,-0.0131,0.0034,57.0040,10.6219,5.0182,9.6135
1.0000,26.5625,-0.0086,-0.0086,57.0040,10.6219,5.0182,9.6139
1.1000,26.5625,-0.0135,-0.0154,57.0064,10.6219,5.0182,9.6135
1.2000,26.5625,0.0045,-0.0217,57.0064,10.6219,5.0182,9.6135
1.3000,26.5625,-0.0105,0.0015,57.0064,10.6219,5.0181,9.6131
1.4000,26.5625,-0.0150,-0.0090,57.0040,10.6219,5.0182,9.6135
1.5000,26.5625,-0.0041,-0.0158,57.0040,10.6219,5.0182,9.6135
1.6000,26.5625,-0.0124,-0.0274,57.0040,10.6219,5.0182,9.6135
1.7000,26.5625,-0.0004,0.0086,57.0040,10.6219,5.0181,9.6135
1.8000,26.5625,-0.0195,-0.0060,57.0040,10.6219,5.0181,9.6135
1.9000,26.5625,-0.0090,-0.0098,57.0064,10.6219,5.0181,9.6135
2.0000,26.5625,-0.0116,-0.0150,57.0040,10.6219,5.0182,9.6135
2.1000,26.5625,-0.0127,-0.0037,57.0040,10.6219,5.0182,9.6139
2.2000,26.5625,-0.0068,-0.0011,57.0040,10.6219,5.0182,9.6135
2.3000,26.5625,-0.0008,-0.0049,57.0040,10.6219,5.0182,9.6135
2.4000,26.5625,-0.0139,0.0019,57.0040,10.6219,5.0182,9.6135
2.5000,26.5625,-0.0094,-0.0064,57.0040,10.6219,5.0182,9.6135
