Save File As,Default
File Name,default
Test Time,1000
Show Relative Dose,FALSE
Calibration Factor,1.0
Temperature Correction,0.0
Reference diff Voltage,1000.0
Integrator Mode,TRUE
Integration Time,160
Reset Time,500
Facility,Blue Physics
Investigator,Marcos
Source,Light
Brand,Elekta
Particles,Photons
Energy,6
Dose Rate,300
Gantry,0
Collimator,0
Couch,0
Field Size X1,5.0
Field Size X2,5.0
Field Size Y1,6.4
Field Size Y2,5.0
Ion Chamber,199.5
Setup,SSD
Distance,100
MU,100
PS,57000
Transducer Type,MPPC S13360-1325CS
Sensor Type,Fiber
Sensor Size,3
Fiber Diameter,0.25
Fiber Length,99
Sensor Position X,0.0
Sensor Position Y,0.0
Sensor Position Z,0.0
Reference Fiber Diameter,0.25
Reference Fiber Length,99
Comments,Test
time,temp,ch0,ch1,PS,-12V,5V,10.58V
0.1000,25.1250,-0.0255,-0.0551,57.0064,10.6268,5.0196,9.6135
0.2000,25.1875,-0.0326,-0.0487,57.0089,10.6268,5.0196,9.6135
0.3000,25.1875,-0.0308,-0.0476,57.0089,10.6268,5.0196,9.6131
0.4000,25.1875,-0.0409,-0.0431,57.0064,10.6268,5.0196,9.6135
0.5000,25.1875,-0.0330,-0.0495,57.0064,10.6268,5.0198,9.6135
0.6000,25.1875,-0.0278,-0.0495,57.0064,10.6268,5.0196,9.6135
0.7000,25.1875,-0.0225,-0.0637,57.0064,10.6268,5.0198,9.6135
0.8000,25.1875,-0.0281,-0.0454,57.0064,10.6268,5.0196,9.6135
0.9000,25.1875,-0.0405,-0.0416,57.0089,10.6268,5.0192,9.6131
1.0000,25.1875,-0.0206,-0.0420,57.0064,10.6268,5.0196,9.6135
1.1000,25.1875,-0.0214,-0.0360,57.0089,10.6268,5.0196,9.6135
1.2000,25.1875,-0.0225,-0.0428,57.0089,10.6268,5.0196,9.6135
1.3000,25.1875,-0.0262,-0.0589,57.0064,10.6268,5.0196,9.6131
1.4000,25.1250,-0.0101,-0.0401,57.0064,10.6268,5.0196,9.6131
